Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Lesotho,LSO,48.93,45.45,47.47,53.89,53.60,57.37,38.80,32.01,60.56,53.50,29.46,46.34,70.27,66.74,63.12,15.42,14.5,332.911,93.5,30.633,1097.49,71.5929,65.4297,43.7911,39.9215,29.7333,2.89877,145.786,38,0.412377,3,51.9824,76.6352,83.5686,52.3194,1.35125,2.58303,103.589,27.36,0.11864,67.5,13.4701,871.731,42.61,2.15344,101.477,37.28,762.32,0.238939,27,0.695447,3.63825,0.675338,2.84234,20.4,15,77.2,42,23.44890022,3.6,2.45837,2.80341,3.40017,0.06,10.24,0,0
Lithuania,LTU,81.86,89.03,84.85,71.71,97.34,96.35,92.06,70.38,96.30,88.93,67.84,86.32,93.97,79.55,63.54,49.79,2.5,10.797,5.3,5.806,20.5246,97.3809,94.7617,93.6218,0,100,5.55631,2.07098,5.98,0.955451,3,12.3069,99.8156,99.8206,103.238,0.95398,3.47098,144.578,74.3766,0.83051,96,21.0999,443.894,68.342,3.36416,44.9832,93.49,247.279,16.9282,38,0.882067,3.75766,0.949812,4.86614,10.3,0,72.6,59,20.96890068,4.1,2.87515,2.53383,3.51989,1.05,14.17,4,30
Luxembourg,LUX,89.27,94.97,91.41,81.43,98.97,99.40,98.40,83.13,97.52,90.17,85.12,92.82,95.29,89.85,78.92,61.66,2.5,9.493,2.4,1.086,17.6552,99.9508,99.9016,97.611,0,100,6.7064,0.272986,0.72,0.927267,,5.70383,,98.5969,101.967,1.03821,3.86201,132.697,98.1367,0.69492,,24.4934,206.931,82.894,3.41165,19.4435,99.76,207.107,17,38,0.953571,3.64264,0.983871,4.83128,6.1,1,,82,77.68530273,2.8,2.69461,3.17716,3.7853,1.05,14.08,2,80
Latvia,LVA,79.25,88.63,81.81,67.30,97.34,95.84,89.34,72.01,95.35,79.32,66.21,86.38,93.21,80.49,51.14,44.34,2.5,10.06,4.6,6.18,20.6362,98.5956,91.2423,92.864,0,100,5.21769,9.35365,4.11,0.930981,3,11.4814,99.8959,96.9835,112.23,0.99024,3.15004,134.495,79.8421,0.52542,82.1667,20.6154,478.355,70.042,3.21547,43.895,96.3,285.767,17,35,0.944957,3.87167,0.916894,4.71569,8.7,1,77.9,58,25.17300034,8.3,2.62584,2.67411,2.53628,0.78,14.44,2,30
Morocco,MAR,66.51,81.85,70.49,47.19,89.03,79.26,91.99,67.12,68.95,73.71,56.89,82.41,63.60,61.75,37.23,26.17,3.5,85.624,27.1,16.513,88.5253,82.97,76.4826,83.4661,18.8575,100,5.57973,3.60245,1.05,0.783371,3,27.2486,69.4254,95.5144,69.6988,0.85423,0.985235,117.681,58.2712,0.83051,53.5,20.8158,367.492,58.992,1.33056,51.3175,85.38,331.678,16.9854,14,0.660596,1.58881,0.858028,4.23972,51,11,78.5,40,7.206999779,8.2,1.89826,1.65393,2.39157,0.37,4.84,3,30
Moldova,MDA,67.69,81.86,69.71,51.49,93.36,80.88,84.65,68.57,87.17,74.06,54.84,62.75,81.01,58.56,38.97,27.41,8.5,19.848,15.9,7.529,30.5299,86.6933,59.7113,78.3989,0.23333,100,4.3302,9.15205,3.19,0.712753,3,11.8137,99.1383,91.585,86.1081,1.00808,2.2388,93.3216,71,0.66102,65,18.3821,547.56,64.486,2.33927,69.1805,83.06,725.146,3.52106,26,0.724439,3.42066,0.80967,4.79366,36.8,11,63.5,31,6.095300198,7.31476,1.50296,1.76494,2.87715,0.56,13.8,0,0
Madagascar,MDG,42.59,45.88,41.19,40.71,57.33,30.20,26.12,69.87,61.21,26.21,30.04,47.28,71.57,31.52,47.92,11.82,42.3,356.044,46.4,44.069,358.479,50.6214,33.9743,9.69367,55.3959,22.9,1.91792,188.844,0.62,0.649019,3,17.9826,71.5726,,38.3116,0.99459,0.29047,32.1285,4.71366,0.20339,44.2857,16.2483,660.302,39.293,0.290297,77.9377,0,828.541,5.82104,24,0.68288,3.62862,0.41626,4.53285,85.1,40,60.2,24,23.40449905,3.8,1.95471,2.02005,1.8585,,6.46,0,0
Mexico,MEX,70.42,80.85,73.85,56.56,93.12,94.22,87.81,48.27,84.79,62.84,62.16,85.62,73.98,62.06,44.41,45.80,4.2,46.067,14.6,12.138,31.9404,98.3105,95.1637,89.2184,5.53981,100,4.86841,6.78301,16.35,0.531394,4,17.4076,94.4723,99.1168,97.2715,1.08606,1.22611,87.6019,59.5404,0.88136,19.6667,22.143,279.226,60.717,1.38396,25.7513,91.48,352.961,13.8285,26,0.771569,3.8361,0.430216,4.20503,27.1,17,82.3,29,53.96620178,6.9,1.49287,1.4808,2.55127,0.7,10.77,19,30
Macedonia,MKD,68.78,85.59,72.27,48.47,95.76,94.52,85.25,66.86,87.39,76.44,58.73,66.49,72.84,55.67,38.34,27.01,3.9,7.671,12.2,7.871,10.4192,96.774,92.4348,90.9112,1.62,100,4.91237,29.0677,1.59,0.723761,4,8.44337,,94.6968,81.8912,0.98339,2.35172,98.5243,72.1568,0.61017,72.2222,18.815,490.041,63.898,2.80936,61.9411,52.07,458.549,7.81247,21,0.760446,3.08241,0.735184,4.02426,26.6,7,31.6,35,9.944800377,6.6,1.78337,1.53373,2.20874,,12.74,0,0
Mali,MLI,45.06,56.80,43.65,34.74,65.18,57.64,43.16,61.23,40.81,43.96,46.51,43.31,70.82,20.87,44.21,3.05,4,372,110.6,24.327,457.425,74.2681,41.456,31.2683,12.6556,35.0695,2.93291,125.251,10.82,0.724732,3,15.7256,33.0689,62.066,42.9292,0.74389,1.82527,112.353,11.1122,0.0678,50.6667,17.9017,459.846,44.854,1.86431,89.7276,0,996.702,7.39255,17,0.777313,2.78606,0.66574,4.49652,85.6,53,35.4,31,4.768799782,7.9,1.99139,1.88819,3.45088,0.06,1.56,0,0
Myanmar,MMR,52.31,60.03,55.34,41.54,75.24,60.56,52.86,51.48,71.60,50.09,44.84,54.83,53.08,59.24,38.12,15.73,16.9,228.075,50.8,27.515,138.626,67.5366,23.4736,64.6965,6.85814,57.0094,2.72499,91.5718,2.42,0.501863,4,29.3448,75.5512,99.5453,60.5078,1.09822,0.905823,95.6532,25.0733,0.10169,62.5,18.1246,492.915,51.089,1.00439,74.82,0,433.555,6.15462,13,0.569602,2.01838,0.589199,3.1046,54.9,7,75.3,30,33.47869873,9.8,2.03405,1.78692,1.93603,0.34,7.74,0,0
Montenegro,MNE,71.87,84.60,81.32,49.68,95.74,94.57,82.48,65.59,92.86,86.10,67.90,78.42,75.40,62.32,33.25,27.76,2.5,5.734,3.8,13.863,9.0673,97.6276,84.2024,95.9087,0.15672,100,4.57021,36.5962,2.72,0.788492,4,9.64576,98.4422,94.6597,90.5309,0.99949,3.18117,165.562,69.8816,0.83051,89.4,21.007,422.708,69.798,3.16614,48.7726,81.67,366.426,12.2371,25,0.641272,3.76447,0.683215,4.17861,11.9,,38.1,46,10.32849979,8.2,1.48638,1.69104,1.95505,,13.05,0,0
Mongolia,MNG,65.17,70.49,66.27,58.76,87.27,59.07,67.00,68.63,95.26,70.09,46.07,53.65,87.86,63.86,52.85,30.46,19.6,47.104,17.9,13.812,36.4757,83.2199,26.2122,59.2215,30.8654,81.775,3.97534,91.1643,7.23,0.832892,2,22.3565,98.257,99.3388,100.291,1.00627,2.87947,111.237,22.2658,0.71186,81.75,17.1215,786.386,59.571,2.56678,89.637,63,1231.48,13.1723,36,0.903339,3.54869,0.737108,4.76046,43.9,4,72,36,6.942200184,3.5,2.35187,2.44908,2.30762,0.96,12.06,0,0
Mozambique,MOZ,44.49,47.41,48.92,37.14,60.77,33.97,39.97,54.92,58.10,32.74,40.01,64.83,67.29,27.58,49.15,4.54,26.6,284.747,71.3,29.107,628.723,47.2587,31.6674,23.5607,47.1679,24.1983,2.97187,126.316,3.39,0.618453,4,23.7583,50.5838,89.5663,32.8823,0.91853,1.22867,52.1189,17.5212,0.20339,38,17.2256,462.907,46.455,0.485362,51.1152,45.65,967.404,16.6318,20,0.813493,3.67708,0.6139,2.54553,82.4,45,50.6,25,30.71719933,5.1,1.61837,1.89149,3.00762,0.02,2.99,0,0
Mauritania,MRT,41.85,53.95,43.66,27.95,69.69,48.02,46.26,51.81,49.50,37.93,47.68,39.52,43.20,41.09,20.22,7.30,5.3,451.241,81.4,24.087,247.787,69.6077,51.7034,44.6206,60.5658,41.6521,2.0934,80.6874,10.22,0.473245,4,12.3424,,71.2294,31.5697,0.9711,0.208504,84.0306,18,0.05085,39.25,19.1581,360.135,51.076,0.513507,107.374,0,754.129,0.628828,9,0.637373,0.334844,0.384838,3.77151,41.6,28,33.8,28,5.312699795,6.7,1.12449,0.346734,0.871951,0.07,4.44,0,0
Mauritius,MUS,74.80,90.14,77.28,56.99,93.32,98.25,91.17,77.81,90.80,74.90,66.13,77.29,90.68,66.28,53.88,17.11,5.2,52.445,13.7,9.834,34.5526,99.8652,99.8569,93.1491,0.2209,98.7818,5.45915,2.13245,2.71,0.832215,2,11.8156,92.7076,98.4989,93.3693,1.05693,2.97916,143.725,52.1913,0.66102,78,20.1308,438.537,65.412,3.58817,32.9161,73.12,253.817,5.57895,37,0.893837,3.72951,0.861637,4.59725,16.5,10,54.1,50,47.9253006,3.46693,2.05926,2.15628,1.83363,0.17,10.36,0,0
Malawi,MWI,48.35,52.91,50.21,41.94,61.86,54.87,28.65,66.24,62.98,34.37,41.31,62.17,70.91,49.36,40.24,7.23,25.9,249.797,55.1,36.122,630.535,67.1951,21.5268,43.5296,7.41239,11,1.85023,137.43,1.78,0.695732,3,21.4204,62.1435,97.7588,37.3808,0.89255,0.954203,39.678,9.6141,0.28814,55.6,16.6681,513.076,49.643,1.00594,63.7268,0,547.888,16.6794,26,0.829992,3.6032,0.787857,2.0696,60.6,26,75.7,31,4.741399765,5.6,1.8591,1.60527,2.21409,0.01,4.98,0,0
Malaysia,MYS,72.72,88.52,76.72,52.91,91.85,96.83,93.93,71.49,88.55,73.45,65.55,79.33,58.90,66.37,40.98,45.40,2.5,48.18,8.3,17.499,109.975,96.4338,93.62,99.574,1.12367,100,5.88352,1.05715,1.92,0.757942,2,25.6187,93.1179,98.9133,85.1648,1.06365,2.80941,140.803,78.7883,0.67797,48,19.8768,371.354,65.035,3.21404,55.9358,82.3,433.285,17,18,0.514118,2.3242,0.591957,3.78617,21.5,6,54.5,47,20.97229958,6.2,1.75612,2.36532,1.25412,0.6,11.93,16,30
Niger,NER,36.69,43.01,32.21,34.86,57.42,20.44,25.95,68.25,30.80,26.95,44.48,26.59,75.81,19.12,41.95,2.56,11.3,430.184,91.3,43.834,555.777,45.8354,31.4732,12.9373,84.8371,16.2172,,179.65,4.47,0.867648,3,16.1783,15.4567,63.7948,23.5974,0.72597,1.2514,42.1806,4.32276,0.08475,48,17.1328,441.046,43.11,1.74954,157.875,0,1623.1,17,20,0.829026,3.57298,0.813327,3.5911,91.3,61,46.2,33,10.15939999,7.7,1.9644,2.16085,2.39846,0.04,1.41,0,0
Nigeria,NGA,49.27,50.32,55.72,41.77,64.48,41.98,47.10,47.74,52.75,51.32,55.21,63.59,77.90,42.14,31.55,15.48,7.9,259.22,104.3,33.165,484.489,67.345,10.1837,32.601,35.665,59.3,1.42239,87.7718,9.79,0.611484,5,14.4175,51.0777,65.9488,56.1799,0.90992,1.11362,82.9843,25.67,0.35593,56.6667,20.3014,252.377,48.668,1.43565,93.4942,30.76,303.823,13.354,25,0.840101,3.12917,0.800837,4.08484,33,29,33.5,27,10.6541996,9.3,1.61801,1.35856,2.23223,,6.77,1,0
Nicaragua,NIC,62.87,75.39,69.55,43.66,87.13,76.80,77.32,60.31,76.56,61.04,71.23,69.38,60.52,53.57,40.76,19.80,17,62.567,19.7,15.783,30.9078,82.2562,69.6304,76.3492,15.2026,81.7968,4.41304,27.5429,11.49,0.664211,3,14.3403,,98.4103,74.1885,1.12813,1.30292,125.945,24.5718,0.40678,72.7778,23.619,233.387,65.412,2.23422,26.619,0,504.435,16.0813,12,0.496382,2.9927,0.597305,3.9872,42.4,30,89.5,26,50.09780121,6.2,1.97402,1.38804,1.06127,0.5,9.04,0,0
Netherlands,NLD,89.34,96.41,91.65,79.97,98.75,99.47,98.80,88.62,96.38,96.56,85.35,88.30,96.56,88.81,78.03,56.49,2.5,5.851,3.8,1.092,26.1019,100,100,97.727,0,100,6.7796,0.20993,0.61,0.969198,2,4.32264,,97.6871,132.692,1.01659,3.42476,122.974,90.411,0.94915,100,24.0133,222.745,82.605,3.774,20.4254,99.9,233.932,11.3254,40,0.951533,3.87249,0.957003,4.78828,12.7,0,86.3,82,90.37830353,4.5,3.13459,3.41598,2.90859,0.98,14.69,26,30
Norway,NOR,90.26,96.62,93.19,80.97,99.00,99.54,99.24,88.69,98.43,92.80,87.35,94.16,98.09,90.76,81.73,53.31,2.5,3.559,2.6,1.115,22.1066,100,100,98.0586,0,100,6.86563,0.361655,0.56,0.968765,2,4.5445,,99.8895,114.277,0.97045,3.88024,109.037,97.2982,0.76271,96.3333,24.4358,196.537,84.069,3.79497,12.0346,96.11,144.211,16.2649,40,0.979431,3.9088,0.976634,4.87635,5.2,0,84.3,85,88.90100098,3.4,3.60607,2.98435,3.18915,0.97,15.42,9,30
Nepal,NPL,56.07,67.88,55.73,44.62,77.78,61.28,59.19,73.27,67.81,59.88,46.97,48.25,71.76,40.70,59.36,6.65,8.1,231.875,34.5,33.71,176.058,87.7467,47.7308,46.1266,35.2935,90.7,2.83433,126.377,2.27,0.774106,2,20.9468,59.6273,94.8362,71.2095,1.11035,0.92558,110.826,19.6888,0.50847,63.8333,18.4734,491.347,52.94,1.18625,121.67,0,584.572,12.9662,25,0.821861,3.34332,0.801848,2.60627,76.1,29,60.5,31,86.4068985,9.59838,2.84915,2.43265,2.63654,0.11,3.6,0,0
New Zealand,NZL,89.12,96.81,90.62,79.91,98.11,100.00,97.41,91.74,95.61,95.19,83.27,88.43,96.91,86.71,72.64,63.38,2.5,12.006,5.4,3.107,12.4403,100,100,100,0,100,6.51924,0.246242,0.91,0.960439,1,8.56294,,98.5227,114.332,1.06132,3.57829,124.441,88.4702,0.94915,96.6,24.4641,222.708,78.302,3.49355,7.91349,96.16,487.272,15.3118,40,0.965784,3.85185,0.951055,4.8514,11.9,8,84.7,89,76.21140289,3.3,3.0992,2.62412,2.7866,1.19,15.04,15,50
Oman,OMN,68.16,86.31,75.83,42.33,93.82,93.72,95.63,62.07,92.40,77.28,73.43,60.21,46.84,64.79,35.87,21.81,6.2,8.995,10.7,11.309,42.0594,90.9437,87.7481,99.3181,0,100,6.21298,1.4761,1.06,0.765532,2,51.4506,93.0386,99.8198,107.133,0.94119,2.90812,155.178,69.9292,0.55932,,21.1108,335.712,75.803,3.39327,71.7075,68.37,666.248,2.5717,6,0.192607,2.14654,0.721677,3.30339,10.1,4,38,44,,2.6,0.873014,1.28865,1.3795,,8.19,1,10
Pakistan,PAK,49.18,60.73,48.09,38.72,65.88,65.69,64.77,46.60,53.61,47.24,38.06,53.44,54.41,51.00,27.11,22.36,19.9,291.064,78.8,40.674,159.603,88.5456,32.9938,58.2514,18.8532,99.1474,2.94996,106.983,7.81,0.426966,4,24.9504,56.9771,84.0676,46.1092,0.81062,0.557359,70.6452,15.5146,0.37288,60.8333,17.8046,617.995,43.825,0.897468,125.985,26.03,392.63,10.6911,19,0.622421,1.74887,0.34139,3.95295,59,11,51.7,32,11.84060001,9.7,1.3917,0.687974,2.52513,0.19,4.26,13,10
Panama,PAN,72.16,82.52,76.64,57.31,89.69,88.32,87.44,64.65,83.50,62.76,72.19,88.13,89.15,59.70,50.32,30.06,9.3,69.548,16.4,15.377,48.2488,95.0002,92.0686,76.867,9.39448,93.4178,5.18853,7.59192,11.38,0.908727,3,15.7937,94.0941,89.7076,75.8021,1.05334,2.7774,127.457,54,0.37288,56.5,24.2814,226.962,63.243,2.35405,19.6613,78.12,228.898,15.9453,35,0.827107,3.7915,0.81572,4.8557,27.9,22,74.4,37,36.90409851,5.60614,2.17382,1.66781,2.73534,0.89,12.46,0,0
Peru,PER,70.09,78.71,76.90,54.67,89.25,81.19,85.32,59.09,87.48,62.72,70.61,86.79,78.03,56.62,48.78,35.24,7.9,67.369,15.3,17.296,87.233,89.8676,82.9672,76.8155,20.778,94.8517,5.07111,22.929,7.16,0.813729,4,15.4346,94.1737,99.5402,98.0148,0.99694,1.05034,116.238,45.4617,0.54237,49,24.165,183.922,66.525,1.49243,31.8242,88.49,250.727,15.3496,31,0.894663,3.70207,0.588189,3.5915,46.1,16,66.7,37,32.78950119,7.7,2.21989,2.79546,1.93892,0.74,11.57,3,10
Philippines,PHL,63.36,68.91,67.56,53.62,80.33,75.65,68.26,51.40,81.65,74.54,42.70,71.33,80.59,60.44,39.57,33.88,13.8,73.998,27.1,31.399,213.098,90.503,43.4782,74.9769,8.19974,90.9816,4.21191,113.171,9.84,0.448926,4,12.5879,96.398,97.8264,88.3348,1.08592,0.870997,109.369,55.5,0.59322,79.7143,17.8064,538.916,50.266,0.961818,87.353,60.34,275.514,15.1721,27,0.712226,3.54465,0.753126,4.76207,35.8,5,55.6,34,60.16490173,8.2,2.29485,1.33615,0.852532,0.7,11.82,5,0
Papua New Guinea,PNG,38.11,38.43,34.10,41.81,61.99,35.42,11.97,44.34,48.82,30.11,15.34,42.10,74.48,49.63,33.83,9.30,,384.154,54.3,46.712,257.184,36.5963,20.2976,18.6042,14.2661,22.9322,,259.887,10.42,0.632149,4,36.0287,,85.4031,39.7799,0.75109,0.288765,46.778,9.60154,0.20339,40.3333,13.9556,1152.6,39.445,0.500605,93.4911,0,825.983,2.41732,25,0.778717,3.71688,0.530197,4.08803,47.6,16,49.1,29,,6,0.777637,1.46243,2.52334,0.05,6.04,0,0
Poland,POL,81.21,92.75,85.02,65.85,97.21,98.13,91.53,84.13,95.24,89.47,70.99,84.37,84.05,76.34,54.27,48.74,2.5,4.445,4.7,7.172,19.6545,97.8886,97.147,98.1327,0,100,5.52281,4.8499,0.74,0.914989,2,10.9382,,95.5969,107.076,0.97238,3.4524,138.66,73.3007,0.88136,94.5,22.0223,372.633,72.59,2.9498,42.4119,92.35,381.34,17,36,0.733005,3.45636,0.809007,4.47032,16.8,2,68.2,60,20.68370056,5.9,2.42828,2.90048,2.42157,0.77,14.78,15,20
Portugal,PRT,85.36,94.85,87.03,74.18,98.50,99.81,95.72,85.39,93.47,81.06,81.38,92.22,97.69,79.36,72.89,46.78,2.5,10.235,3.5,1.463,32.9497,99.9046,99.9046,99.4421,0,100,6.22117,1.10451,0.97,0.980978,2,9.54833,94.4771,97.6952,117.503,0.97342,3.01481,111.574,70.4236,0.66102,85,24.032,227.066,77.366,3.33287,15.53,93.82,227.525,17,39,0.97362,3.96316,0.97373,4.85767,12.9,5,79.1,63,54.22819901,2.2,2.37113,3.03209,3.70798,0.39,11.54,13,50
Paraguay,PRY,64.70,79.28,65.90,48.92,89.94,95.04,72.22,59.92,75.91,66.30,52.23,69.18,76.18,61.88,38.52,19.11,12,97.426,19.9,6.795,51.6856,98.8853,89.4133,91.2222,0.42766,98.4,2.61136,31.4946,9.29,0.873276,3,27.1092,95.0727,90.6581,76.5744,1.06562,0.603384,111.363,51.3499,0.57627,54.2,20.5273,384.958,56.226,0.701216,43.7549,46.8,716.556,14.4752,27,0.79,3.81935,0.490266,4.27718,39.3,13,84.6,29,31.42130089,5.5,1.66226,1.44297,1.33131,0.33,10.21,0,0
Qatar,QAT,70.64,88.48,80.06,43.38,95.70,98.48,97.08,62.66,88.86,74.13,81.59,75.65,37.11,72.10,23.35,40.95,,21.147,8.5,7.19,13.9671,100,93.2,100,,100,6.45207,0.009621,8.1,0.80874,2,33.3757,97.7467,97.9489,92.5332,1.1738,3.42292,142.135,94.2911,0.64407,40,23.3247,218.19,77.582,3.59774,51.6698,96.13,307.043,4.06668,7,0.1729,1.15684,0.513588,3.17385,0.2,18,63.9,63,,4.3,1.09863,0.925473,0.114685,0.5,10.82,2,50
Romania,ROU,74.51,86.33,76.75,60.44,95.00,87.24,88.18,74.91,87.09,77.97,59.35,82.58,85.78,71.92,45.31,38.75,2.5,19.139,9,12.119,27.628,100,62.07,81.8127,0,100,5.15875,16.1219,1.49,0.88383,3,11.912,98.6043,92.9852,88.9491,0.99231,1.92627,115.785,59.504,0.62712,86,20.2425,451.255,66.681,1.91113,51.0658,83.95,277.852,16.1633,35,0.822604,3.53987,0.745527,4.72249,25.4,3,73,48,17.93810081,6.5,1.83957,1.92534,2.83604,0.44,13.8,5,20
Russia,RUS,70.16,81.36,73.94,55.18,95.52,94.32,89.86,45.74,94.44,72.36,56.03,72.95,52.87,68.47,33.69,65.67,2.5,16.792,7.7,10.08,41.5992,96.3751,92.4086,88.7867,0,100,5.11518,0.881881,11.31,0.364194,4,19.8304,99.6843,99.6611,104.808,0.98542,2.65384,159.155,73.0914,0.74576,43,18.9708,598.214,63.094,2.78831,60.6893,96.53,588.164,9.45113,5,0.371306,2.78009,0.372561,4.67993,6.3,8,72.9,29,7.821499825,8.5,1.56977,1.32945,2.58129,1.93,14.67,40,10
Rwanda,RWA,52.14,57.42,58.91,40.09,64.20,61.00,49.84,54.64,71.86,52.67,53.02,58.08,59.81,60.54,31.37,8.64,41.1,220.107,38.5,34.807,344.426,56.7101,40.2742,62.3478,2.26762,29.37,4.36067,118.926,4.51,0.387988,3,24.8677,68.331,96.2354,36.6499,1.09809,3.11628,74.8607,20,0.49153,62.6667,18.1543,380.446,52.353,2.1667,72.9504,0,367.089,8.73339,8,0.425147,3.39089,0.78508,3.27632,78.4,4,68,55,7.566800117,9.69995,2.70416,1.39026,0.899448,0.06,5.48,0,0
Saudi Arabia,SAU,64.75,85.30,74.82,34.13,95.18,99.51,95.41,51.10,87.06,75.20,71.64,65.37,17.26,68.58,13.87,36.82,4.4,9.25,12.9,6.295,58.0019,99.9929,97.8308,100,,100,6.15765,0.829212,1.5,0.271847,3,37.495,94.4263,98.8755,116.647,0.77303,3.16704,148.51,73.7509,0.71186,55.9375,20.2564,273.978,72.898,3.23704,94.2622,87.79,379.414,4.38589,0,0.126485,0.230753,0.304903,1.63864,3.1,4,41.5,49,,8.1,0.315868,0.854925,0.758201,0.46,9.61,14,20
Sudan,SDN,38.85,49.86,43.52,23.17,67.59,46.13,49.38,36.35,47.07,43.28,43.42,40.29,30.38,40.04,12.23,10.02,25.6,321.842,65.1,31.701,140.469,58.9314,44.1831,34.5861,38.4889,38.5284,,102.189,6.45,0.303087,4,44.4119,53.5174,56.4043,45.8303,0.98715,0.223095,70.258,28,0.25424,46,18.8918,493.378,47.783,0.663979,111.177,0,722.48,1.98592,4,0.251313,1.38391,0.298347,2.31274,39.4,24,33.3,16,6.750899792,9.9991,1.10027,0.414326,0.35282,0.14,5.67,0,0
Senegal,SEN,55.47,66.12,54.45,45.83,74.13,64.93,55.44,69.97,58.17,56.14,45.75,57.75,83.41,44.65,49.46,5.81,11.3,354.679,47.1,17.926,343.455,75.1886,70.443,48.3581,25.453,64.5,3.59533,125.813,7.3,0.864513,2,20.6875,42.8175,72.34,48.1149,1.01126,2.07255,98.5392,25.6648,0.38983,56.5385,17.0442,510.728,45.273,2.27574,104.914,42.69,783.755,17,31,0.937627,3.37699,0.825567,3.93405,67.6,25,46.2,45,3.037400007,6.1,2.29672,2.34804,2.94356,0.1,3.11,0,0
Singapore,SGP,85.42,98.14,90.10,68.01,97.60,100.00,99.22,95.75,98.25,90.23,87.58,84.36,70.88,87.91,53.78,59.45,,5.579,2.8,2.991,47.3248,100,100,100,,100,6.85355,0.020773,0.25,0.936466,1,3.82985,97.0496,99.9421,108.13,0.99139,3.73772,150.481,81,0.91525,,25.8653,205.294,81.746,3.53027,27.0983,100,119.25,4.51437,19,0.40844,3.32546,0.851669,4.52471,8.4,0,76.9,84,34.08459854,2.3,2.20566,2.24538,1.52584,1.73,13.83,5,30
Solomon Islands,SLB,48.19,56.08,43.91,44.58,81.06,44.70,30.16,68.42,64.09,38.37,18.43,54.75,77.45,44.41,41.28,15.18,13.9,193.271,25.8,21.461,168.133,64.0341,47.3904,31.267,50.2717,47.9191,,212.79,3.77,0.908858,,23.0246,,81.6435,48.2869,0.94859,1.54368,69.496,11.0009,0.22034,46.25,14.2894,1164.66,40.515,1.06021,53.5108,0,490.622,1.70942,28,0.836753,3.21012,0.802898,3.63472,67,,46.2,39,,6.2,0.89549,2.19652,3.17072,,7.85,0,0
Sierra Leone,SLE,44.80,47.63,47.07,39.70,47.78,40.55,28.02,74.16,59.42,42.15,38.09,48.61,75.96,31.25,46.69,4.92,30.9,511.397,113.5,36.42,611.351,58.0914,27.5926,14.5359,27.1315,20.3,2.57563,195.414,1.92,0.791254,2,21.1581,32.4262,99.6991,40.4991,0.90948,1.30944,84.8987,11.7732,0.11864,53.5556,16.0649,541.666,44.642,1.10544,108.72,0,561.929,9.43977,28,0.876657,3.86545,0.545137,3.49227,88.9,31,39.1,30,13.13049984,6.5,2.28768,2.03715,2.53825,0.09,2.58,0,0
El Salvador,SLV,64.97,74.53,72.06,48.34,90.07,91.24,86.34,30.47,77.07,73.00,61.71,76.45,76.29,60.59,40.44,16.03,12.3,37.905,15,13.282,51.7103,93.0131,87.6091,91.1251,4.6755,98.6189,4.82423,13.3009,108.64,0.67933,5,26.9536,87.9698,89.96,74.2923,0.99873,0.921508,151.894,28.9971,0.55932,100,22.6739,255.582,63.227,0.704649,37.6024,50.5,244.19,10.7862,34,0.877383,3.85299,0.265592,4.19524,38.4,17,81.9,33,43.69070053,6.4,1.26084,1.22155,2.50058,0.21,9.21,0,0
